product,dwb_asset_category,dwb_asset_type,dwb_unit,lr_rule,fee_parameter,Search Terms
Stay Bolt,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Stay Bolt for M/E,Steel forgings as final machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steam Heater for tube side,Steam Heater,Pressure Vessels,pcs,CLASS MACH Part 5,"Area(Cooling surface, m2)",Steam Heater
Steam Heating Coils for Portable Tanks,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Steam trap,Valves,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 10.5,valves fittings piping
Steel Castig as Finished Machined,Steel Castings as Final Machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel Castig as Rough Machined,Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel casting as cast,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"Steel Casting as Cast for Valve, Body, Bonnet",Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel casting as rough machined,Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"Steel Casting for Pan Check Valve Body, Diffuser, Disc",Steel casting as cast,Materials,kg,kg,Section 4.2,steel castings mechanical tests
Steel Casting for Spring Case(for Control Valves),Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel Casting for Valve Body,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel casting for valve body and bonnet,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"steel casting for valve body, bonnet",Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"Steel Casting for Valve Body, bonnet, etc(as cast)",Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"Steel Casting for Valve Body, bonnet, etc(as rough machined)",Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
"Steel Casting, Butterfly Valve",Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Steel Forging,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steel forging for Ring flange and Round Bar,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steel Forgings for Flange,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steel Forgings for Pinion,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steel forgings for Square Bar,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Steel Plate (De-coiled plate),Rolled Steel,Materials,kg or ton,CLASS HULL Parts 2 & 3,Section 4.1,rolled steel plates sections
Steel Plate (유통 목적의 Steel plate),Rolled Steel,Materials,kg,,Section 4.5,rolled steel plates sections
Steel Plate(Equal/Unequal Angle),Rolled Steel,Materials,Ton,CLASS HULL Parts 2 & 3,Section 4.1,rolled steel plates sections
Steel Wire Rope for Anchor Wire,Steel Wire Rope Products,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Q'ty,wire ropes breaking load
Steel Wire Rope for Crane(LA4),Steel wire rope (LA4),Lifting Appliances,batch,Lifting Appliances,Q'ty,steel wire rope
Steel Wire Rope for EM'CY towing,Steel Wire Rope Products,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Q'ty,wire ropes breaking load
Steel Wire Rope for Lifting Appliance,Steel wire rope (LA4),Lifting Appliances,batch,Lifting Appliances,Q'ty,steel wire rope
Steel Wire Rope for mooring(& Steel Rope 의 용도가 불분명 할 경우),Mooring Rope,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Q'ty,mooring ropes
Steering Gear,Steering Gear,Outfitting Equipment & Component,pcs,CLASS MACH Part 5,R/Stock Dia(mm),steering gear rudder actuator
Steering Gear Room Davit,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Steering Gear Starter Panel/Em'cy fire pump,Starter,Electrical Equipment & Component,pcs,,Section 5.8,motor control gear
STERN BOSS & TUBE,Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Stern Tube Assembly,Statement of work,Other Services,pcs,,hour,
Stern Tube L.O Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
STERN TUBE LO TANK,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
Strainer,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
Strand jack,Hydraulic block or cylinder,Machinery Equipment,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Stud,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Stud Bolt,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Stud Bolts,Metallic components for LNG/CCS,LNG/CCS Components,Batch,,Section 13.6,low temperature service materials
suction and discharge damper,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Suction Separator / Vent Gas Separator,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
"SUCTION VESSEL, HEAD PLATE",Unfired Pressure vessel,Pressure vessels,pcs,,Section 12.6,pressure vessels
Suport for ALS Chamber with Chamber Hatch,Statement of work,other service,batch,,kg,
Surface Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Surge Chamber,Piping,Machinery Equipment,pcs,,Section 10.10,piping system design pressure
SUS Corner Stud Bolt,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
"SUS Corner, U-Frame, SPLD, CBLD, Protection Ring",Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
SUS PIIP FITTING,Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
SUS Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Suspension for Monorail Hoist,Statement of works,Lifting Appliances,pcs,,,
Sweepolet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
T-STRAINER,Strainer,Machinery Equipment,batch,,Section 10.9,filters strainers
Tank Assembly Stream 'A' & 'E',Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Tank Cleaning Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
TANK-SOOT COLLECTING TANK,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
Tee,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Temperature Control Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Temperature Regulating Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Threadolet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Thrust Cam,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Thrust Flange,Hydraulic block or cylinder,Hydraulic block or cylinder,Engine & Propulsion Components,batch,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Tiller,Steel Castings as Final Machined,Materials,kg,,Section 4.2,steel castings mechanical tests
Timing Unit,Injection Control Unit for  Engine,Engine & Propulsion Components,batch,,q'ty,fuel injection control
Top cover & Housing,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
TOP COVER for M/E,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Top Entry Ball Body & Bonnet,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
TOP PIECE for M/E,Hydraulic block or cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
TOPPING-UP AIR COMPRESSOR,Reciprocating compressors,Machinery Equipment,pcs,CLASS MACH Part 5,capacity(m3/hr),air compressor pressure
TORSIONAL VIBRATION DAMPER,Torsional vibration damper,Engine & Propulsion Components,pcs,CLASS MACH Part 5,hour,torsional vibration
TOWING CHAIN CABLE,Anchor chain cable,Hull equipment,Batch,,Section 8.2,chain cables proof test
Transformer,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Transformer for Bow Thruster,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Transformer for Lighting system,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Tube sheet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Tubesheet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
TURBINE OIL STOR. TANK,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
U-FRAME and SECONDARY PLATE,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
UPPER SLEEVE / LOWER SLEEVE,BEARINGS,Engine & Propulsion Component,batch,,Section 10.9,bearings lubrication
Upper/Lower Sleeve,bearings,Engine & Propulsion Components,batch,CLASS HULL Parts 2 & 3,Section 10.9,bearings lubrication
Vacuum Pump,Displacement Pump,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Vacuum Relief Valve with Gas Free Cover,Valves,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 10.5,valves fittings piping
Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Valve Body & Bonnet & Cover,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Valve Body and bonnet,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Valve Housing for M/E,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,fuel injection valve
VALVE REMOTE CONTROL SYSTEM,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 5,m2,valve remote control system
"Valve Remote Control System (HPU, Sol valve cabinet)",Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 8,m2,valve remote control system
Valves,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Vane,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Vaporizer,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Vent Gas Cooler,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Venting Purge Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Venturi tube,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,,Section 12.7,pipe fittings
VFD Panel,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Vibration Damper,Torsional vibration damper,Engine & Propulsion Components,pcs,CLASS MACH Part 5,hour,torsional vibration
Washer,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
WATER & WEATHER TIGHT DOOR,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Water & Weather tight Hatch,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Water Monitoring Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
WATER-TIGHT HATCH,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Watertight Door,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
WaterTight Hatch,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
WaterTight Hatch Air SAV.,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
WaterTight Hatch E.C.R Em'cy,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Watertight Hinged Door,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Watertight Steel Door,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Watertight Steel Doors,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Watertight Steel Hatch,Closing Appliances (Doors),Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Section 11.6,watertight doors closing
Welding socket,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Weldment Pipe,Unfired Pressure vessel,Pressure vessels,pcs,,Section 12.6,pressure vessels
Weldolet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Weldolet BW,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Wharf ladder,Ladders and equipment,Hull equipment,PCS,CLASS HULL Parts 2 & 3,Section 8.4,ladders access arrangements
Wharf Ladder,Ladders and equipment,Hull equipment,PCS,CLASS HULL Parts 2 & 3,Section 8.4,ladders access arrangements
Wilden Pump,Displacement Pumps,Machinery Equipment,,,Section 10.1,pumps machinery
Winch for Acc Ladder,winches,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,q'ty,mooring winch
Winch for Accomodation Ladder (PORT & STBD),Winches,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,q'ty,mooring winch
Windlass,Windlass,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,Cable dia(mm),windlass anchor handling
Window,Windows/Scuttles/Glasses,Outfitting Equipment & Component,pcs,,q'ty,side scuttles windows
Y STRAINER,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
Y-Strainer,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
Y-type Strainer,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
